date,energy_total_kwh
2025-03-03,32
2025-03-04,12
2025-03-05,33
2025-03-06,49
2025-03-07,30
2025-03-08,31
2025-03-09,20
2025-03-10,26
2025-03-11,9
2025-03-12,32
2025-03-13,12
2025-03-14,33
2025-10-03,7
2025-10-04,9
2025-10-05,29
2025-10-06,23
2025-10-07,10
2025-10-08,12
2025-10-09,10
2025-10-10,12
2025-10-11,12
2025-10-12,9
2025-10-13,3
2025-10-14,7
2025-10-15,4
2025-10-16,10
2025-10-17,6
2025-10-18,29
2025-10-19,27
2025-10-20,18
2025-10-21,13
2025-10-22,17
2025-10-23,15
2025-10-24,16
2025-10-25,27
2025-10-26,19
